category,token,value_de,value_en,type,rdc,mandatory,multiple,logic,expl_de,expl_en,tenant,,,
License Property,Indemnification by licensor,Entschädigung durch den Lizenzgeber,Indemnification by licensor,class com.k_int.kbplus.RefdataValue,indemnification,,,,"Aussage darüber, inwiefern der Lizenzgeber den Lizenznehmer von juristischen Ansprüchen schadlos hält.","A clause by which the licensor agrees to indemnify the licensee against a legal claim. This may specifically include intellectual property claims (third party rights), or may be broader in application.",,,,
License Property,Intellectual property warranty,Gewährleistung des/zum geistigen Eigentum,Intellectual property warranty,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussagen darüber, dass durch die Freigabe des Materials durch den Lizenzgeber keine Rechte Dritter und deren geistiges Eigentum verletzt werden.","A clause in which the licensor warrants that making the licensed materials available does not infringe upon the intellectual property rights of any third parties. This clause, in the form of a warranty, may or may not include an indemnification of licensee.",,,,
License Property,Invoicing,Rechnungsstellung,Invoicing,class java.util.Date,,,,,Benennung des Rechnungsstellers.,Defining who creates and sends out invoices to the participants.,,,,
License Property,License to Publish,Publikationslizenz,License to Publish,class com.k_int.kbplus.RefdataValue,license.oa.license.to.publish,,true,,Aussagen über die Nutzung der Publikationslizenz (Creative Commons Attribution).,An official sign by the CC which permitts different kind of usage.,,,,
License Property,Licensee obligations,Pflichten des Lizenznehmers,Licensee obligations,class java.lang.String,,,,,"Angaben über die Pflichten des Lizenznehmers, wie Informationspflichten über IP-Rangeänderungen.",,,,,
License Property,Licensee termination condition,Kündigungsrecht des Lizenznehmers Voraussetzung,Licensee termination condition,class com.k_int.kbplus.RefdataValue,termination.condition,,,,Aussagen über die notwendigen Voraussetzungen einer Kündigung seitens des Lizenznehmers.,The conditions that would allow a licensee to terminate acquisition during a contract period.,,,,
License Property,Licensee termination notice period,Kündigungsfrist des Lizenznehmers,Licensee termination notice period,class java.lang.String,,,,,Definition der Kündigungsfrist des Lizenznehmers.,The amount of advance notice required prior to contract termination by the Licensee.,,,,
License Property,Licensee termination right,Kündigungsrecht des Lizenznehmers,Licensee termination right,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Aussagen über die Kündigungsrechte des Lizenznehmers.,The ability of the licensee to terminate an acquisition during a contract period.,,,,
License Property,Licensor termination condition,Kündigungsrecht des Lizenzgebers Voraussetzung,Licensor termination condition,class com.k_int.kbplus.RefdataValue,termination.condition,,,,Aussagen über die notwendigen Voraussetzungen einer Kündigung seitens des Lizenzgebers.,The conditions that would allow a licensor to terminate acquisition during a contract period.,,,,
License Property,Licensor termination notice period,Kündigungsfrist des Lizenzgebers,Licensor termination notice period,class java.lang.String,,,,,Definition der Kündigungsfrist des Lizenzgebers.,The amount of advance notice required prior to contract termination by the licensor.,,,,
License Property,Licensor termination right,Kündigungsrecht des Lizenzgebers,Licensor termination right,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Aussagen über die Kündigungsrechte des Lizenzgebers.,The ability of a Licensor to terminate an acquisition during a contract period.,,,,
License Property,Local authorized user defintion,"Autorisierte Nutzer, lokale Defintion",Local authorized user defintion,class java.lang.String,,,,,"Definition, welcher Personenkreis vor Ort zu den berechtigten Nutzern gezählt wird.",The inclusion of an institution-specific preferred authorized user definition,,,,
License Property,Maintenance window,Wartungsfenster,Maintenance window,class java.lang.String,,,,,"Angaben über die Häufigkeit, Dauer und geschaltete Vorabinformationen bei Produktwartungen seitens des Lizenzgebers.","The recurring period of time reserved by the product provider for technical maintenance activities, during which online access may be unavailable.",,,,
License Property,Metadata delivery,Metadata delivery,Metadata delivery,class java.lang.String,,,,,"Aussagen darüber, von wem Metadaten geliefert werden und zur Art des Formats.","Description to whom metadata will be delivered, what kind of standard will be provided.",,,,
License Property,Method of Authentication,Authentifizierungsverfahren,Method of Authentication,class java.lang.String,,,,,"Aussagen darüber, mit welchem Authentifizierungsverfahren Nutzer Zugriff erhalten.",,,,,
License Property,Multi Site Access,Multi Site Access,Multi Site Access,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussagen darüber, ob mehrere Standorte auf das gleiche Produkt zugreifen dürfen.",,,,,
License Property,New Underwriter,Aufnahme neuer Teilnehmer,New Underwriter,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Zeitpunkt für die Aufnahme neuer Teilnehmer (z. B. relevant für Rabattermittlung).,New participant.,,,,
License Property,OA First Date,OA Startdatum,OA First Date,class java.util.Date,,,,,"Aussagen über den zeitlichen Beginn, für welchen Institution/Autor Open Access-Rechte haben.",Time span start,,,,
License Property,OA Last Date,OA Enddatum,OA Last Date,class java.util.Date,,,,,"Aussagen über den zeitlichen Endpunkt, für welchen Institution/Autor Open Access-Rechte haben..",Time span end,,,,
License Property,OA Note,OA Bemerkung,OA Note,class java.lang.String,,,,,Weitere Aussagen und Bemerkungen zu Open Access.,,,,,
License Property,Offsetting,Offsetting Berechnungsmodell,Offsetting,class java.lang.String,,,,,Aussagen über das Berechnungsmodell.,,,,,
License Property,Open Access,Open Access (Variante),Open Access,class com.k_int.kbplus.RefdataValue,license.oa.type,,true,,"Grundlegendes Merkmal, ob eine Lizenz bzw. ein Titel eine Open Access-Komponente enthält. (gold: OA Publikation; grün: Archivierung von pre-print und post-print; blau: Archiverung von post-print; gelb: Archivierung von pre-print; weiß: Archivierung wird nicht formell unterstützt).",,,,,
